fila,identificador,nombre,current_attack,explicit_attack,keyword_hints,proposed_attack,missing_attack,excluded_raw,excluded_effective_detect,excluded_not_effective,proposed_d3fend_detect,d3_count
61,﻿CU133_EPO_Malware_Propagation_MultiHost,CU133_EPO_Malware_Propagation_MultiHost,T1105; T1486; T1570,T1027; T1070.004; T1105; T1569.002,T1204,T1027; T1070.004; T1105; T1204; T1486; T1569.002; T1570,,,,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,17
62,﻿CU134_Chroot_Command_Execution,CU134_Chroot_Command_Execution,T1059.004,T1059.004; T1202,,T1059.004; T1202,,,,,,0
63,﻿CU135_Weblogic_exploit,CU135_Weblogic_exploit,T1059; T1059.004; T1105; T1190,,,T1059; T1059.004; T1105; T1190,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,19
64,﻿CU136_NDR_single_source_multiple_destination,CU136_NDR_single_source_multiple_destination,T1018; T1046; T1595; T1595.001,T1021; T1046; T1071,T1046; T1204; T1568; T1595,T1018; T1021; T1046; T1071; T1204; T1568; T1595; T1595.001,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DNSTA - DNS Traffic Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,24
65,﻿CU140_NDR_multiple_source_to_single_destination,CU140_NDR_multiple_source_to_single_destination,T1595,T1021; T1046; T1071,T1046; T1204; T1568; T1595,T1021; T1046; T1071; T1204; T1568; T1595,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DNSTA - DNS Traffic Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,20
66,﻿CU141_NDR_Critical_Severity_Events_Detected,CU141_NDR_Critical_Severity_Events_Detected,T1046,T1021; T1046; T1190,T1190; T1568; T1595,T1021; T1046; T1190; T1568; T1595,,,,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DNSTA - DNS Traffic Analysis; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,14
67,﻿CU142_NDR_detection_in_DCs,CU142_NDR_detection_in_DCs,T1548.002,,T1568,T1548.002; T1568,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DNSTA - DNS Traffic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,19
68,﻿CU143_NDR_StransIPv4Connections_withIOCs,CU143_NDR_StransIPv4Connections_withIOCs,T1071,,T1568; T1595.002,T1071; T1568; T1595.002,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DNSTA - DNS Traffic Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,19
69,﻿CU144_AV_Alert_SeverityHigh_ByLocalUserAdministrator,CU144_AV_Alert_SeverityHigh_ByLocalUserAdministrator,T1685,,T1098; T1204,T1098; T1204; T1685,,,,,,0
70,﻿CU145_EDR_Alert_S4_ByLocalUserAdministrator,CU145_EDR_Alert_S4_ByLocalUserAdministrator,T1204.002,,T1098,T1098; T1204.002,,,,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,7
71,﻿CU146_Proxy_WebActivity_UserGenerics_IOC,CU146_Proxy_WebActivity_UserGenerics_IOC,T1071; T1071.001; T1078,,T1595.002,T1071; T1071.001; T1078; T1595.002,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,18
72,﻿CU147_AD_User_Enumeration,CU147_AD_User_Enumeration,T1087; T1087.002,,T1595,T1087; T1087.002; T1595,,,,,D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,2
73,﻿CU148_IAM_OU_PROD_Abnormal_Host_Logon,CU148_IAM_OU_PROD_Abnormal_Host_Logon,T1078,,T1021.001,T1021.001; T1078,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,9
74,﻿CU149_NDR_port_scan,CU149_NDR_port_scan,T1046,,T1046; T1595,T1046; T1595,,,,,,0
75,﻿CU150_Tenable_Alert,CU150_Tenable_Alert,T1548.002,,T1110; T1110.001,T1110; T1110.001; T1548.002,,,,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis,13
