fila,identificador,nombre,current_attack,explicit_attack,keyword_hints,proposed_attack,missing_attack,excluded_raw,excluded_effective_detect,excluded_not_effective,proposed_d3fend_detect,d3_count
25,﻿CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,T1110,,T1021.001; T1110,T1021.001; T1110,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,9
26,﻿CU082_Inconveniente_de_almacenamiento_de_auditoria_local,CU082_Inconveniente_de_almacenamiento_de_auditoria_local,T1070,,,T1070,,,,,,0
27,﻿CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,T1587.001,,,T1587.001,,,,,,0
28,﻿CU084_CASB_Anomalous_Access_Location,CU084_CASB_Anomalous_Access_Location,T1021; T1078; T1098,,,T1021; T1078; T1098,,,,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,10
29,﻿CU085_CASB_Superhuman,CU085_CASB_Superhuman,T1021; T1078; T1098,,,T1021; T1078; T1098,,,,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,10
30,﻿CU086_Detecciones de ioc para el mismo usuario en bluecoat,CU086_Detecciones de ioc para el mismo usuario en bluecoat,T1189,,T1595.002,T1189; T1595.002,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,16
31,﻿CU088_LockedAccounts,CU088_LockedAccounts,T1110,,,T1110,,,,,,0
32,﻿CU089_SWIFT Alliance Brute Force,CU089_SWIFT Alliance Brute Force,T1110,,T1110,T1110,,,,,,0
33,﻿CU090_SWIFT Integrity Compromised,CU090_SWIFT Integrity Compromised,T1565; T1657,,,T1565; T1657,,,,,,0
34,﻿CU091_EPO_FILE_Not_Deleted,CU091_EPO_FILE_Not_Deleted,T1587.001,,T1204,T1204; T1587.001,,,,,,0
